"SessionId","Module","InventoryId","Scope","ItemName","ItemType","EstimatedSizeBytes","EstimatedSizeMB","RiskLevel","Assessment","PublicNotes"
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0026","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #26","top-level-inventory","11457788","10.93","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0027","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #27","top-level-inventory","11308376","10.78","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0028","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #28","top-level-inventory","10576867","10.09","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0029","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #29","top-level-inventory","10365388","9.89","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0030","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #30","top-level-inventory","10224022","9.75","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0031","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #31","top-level-inventory","10032326","9.57","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0032","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #32","top-level-inventory","10032170","9.57","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0033","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #33","top-level-inventory","9398149","8.96","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0034","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #34","top-level-inventory","9124446","8.7","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0035","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #35","top-level-inventory","8872240","8.46","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0036","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #36","top-level-inventory","8522226","8.13","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0037","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #37","top-level-inventory","8470336","8.08","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0038","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #38","top-level-inventory","8234362","7.85","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0039","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #39","top-level-inventory","8106296","7.73","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0040","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #40","top-level-inventory","7991624","7.62","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
